Sequence,Taxon,Trophic Mode,Guild,Growth Morphology,Trait,Confidence Ranking,Notes,Citation/Source
Seq2051,-,-,-,-,-,-,Unassigned,-
Seq2053,-,-,-,-,-,-,Unassigned,-
Seq2055,-,-,-,-,-,-,Unassigned,-
Seq2062,-,-,-,-,-,-,Unassigned,-
Seq2063,-,-,-,-,-,-,Unassigned,-
Seq2093,-,-,-,-,-,-,Unassigned,-
Seq2101,-,-,-,-,-,-,Unassigned,-
Seq2111,-,-,-,-,-,-,Unassigned,-
Seq2112,-,-,-,-,-,-,Unassigned,-
Seq2165,-,-,-,-,-,-,Unassigned,-
Seq2231,-,-,-,-,-,-,Unassigned,-
Seq2249,-,-,-,-,-,-,Unassigned,-
Seq2272,-,-,-,-,-,-,Unassigned,-
Seq2288,-,-,-,-,-,-,Unassigned,-
Seq2298,-,-,-,-,-,-,Unassigned,-
Seq2352,-,-,-,-,-,-,Unassigned,-
Seq2402,-,-,-,-,-,-,Unassigned,-
Seq2405,-,-,-,-,-,-,Unassigned,-
Seq2407,-,-,-,-,-,-,Unassigned,-
Seq2422,-,-,-,-,-,-,Unassigned,-
Seq2472,-,-,-,-,-,-,Unassigned,-
Seq2520,-,-,-,-,-,-,Unassigned,-
Seq2597,-,-,-,-,-,-,Unassigned,-
Seq2714,-,-,-,-,-,-,Unassigned,-
Seq2719,-,-,-,-,-,-,Unassigned,-
Seq2729,-,-,-,-,-,-,Unassigned,-
Seq2788,-,-,-,-,-,-,Unassigned,-
Seq2789,-,-,-,-,-,-,Unassigned,-
Seq2853,-,-,-,-,-,-,Unassigned,-
Seq2860,-,-,-,-,-,-,Unassigned,-
Seq2873,-,-,-,-,-,-,Unassigned,-
Seq2879,-,-,-,-,-,-,Unassigned,-
Seq2889,-,-,-,-,-,-,Unassigned,-
Seq2954,-,-,-,-,-,-,Unassigned,-
Seq2972,-,-,-,-,-,-,Unassigned,-
Seq2979,-,-,-,-,-,-,Unassigned,-
Seq3005,-,-,-,-,-,-,Unassigned,-
Seq3035,-,-,-,-,-,-,Unassigned,-
Seq3045,-,-,-,-,-,-,Unassigned,-
Seq3047,-,-,-,-,-,-,Unassigned,-
Seq3060,-,-,-,-,-,-,Unassigned,-
Seq3063,-,-,-,-,-,-,Unassigned,-
Seq3076,-,-,-,-,-,-,Unassigned,-
Seq3117,-,-,-,-,-,-,Unassigned,-
Seq3127,-,-,-,-,-,-,Unassigned,-
Seq3162,-,-,-,-,-,-,Unassigned,-
Seq3182,-,-,-,-,-,-,Unassigned,-
Seq3258,-,-,-,-,-,-,Unassigned,-
Seq3282,-,-,-,-,-,-,Unassigned,-
Seq3341,-,-,-,-,-,-,Unassigned,-
Seq3360,-,-,-,-,-,-,Unassigned,-
Seq3361,-,-,-,-,-,-,Unassigned,-
Seq3405,-,-,-,-,-,-,Unassigned,-
Seq3425,-,-,-,-,-,-,Unassigned,-
Seq3449,-,-,-,-,-,-,Unassigned,-
Seq3460,-,-,-,-,-,-,Unassigned,-
Seq3491,-,-,-,-,-,-,Unassigned,-
Seq3514,-,-,-,-,-,-,Unassigned,-
Seq3583,-,-,-,-,-,-,Unassigned,-
Seq3586,-,-,-,-,-,-,Unassigned,-
Seq3587,-,-,-,-,-,-,Unassigned,-
Seq3623,-,-,-,-,-,-,Unassigned,-
Seq3624,-,-,-,-,-,-,Unassigned,-
Seq3659,-,-,-,-,-,-,Unassigned,-
Seq3667,-,-,-,-,-,-,Unassigned,-
Seq3676,-,-,-,-,-,-,Unassigned,-
Seq3685,-,-,-,-,-,-,Unassigned,-
Seq3703,-,-,-,-,-,-,Unassigned,-
Seq3732,-,-,-,-,-,-,Unassigned,-
Seq3791,-,-,-,-,-,-,Unassigned,-
Seq3822,-,-,-,-,-,-,Unassigned,-
Seq3851,-,-,-,-,-,-,Unassigned,-
Seq3879,-,-,-,-,-,-,Unassigned,-
Seq3891,-,-,-,-,-,-,Unassigned,-
Seq3895,-,-,-,-,-,-,Unassigned,-
Seq3896,-,-,-,-,-,-,Unassigned,-
Seq3909,-,-,-,-,-,-,Unassigned,-
Seq3915,-,-,-,-,-,-,Unassigned,-
Seq3927,-,-,-,-,-,-,Unassigned,-
Seq3935,-,-,-,-,-,-,Unassigned,-
Seq3948,-,-,-,-,-,-,Unassigned,-
Seq3981,-,-,-,-,-,-,Unassigned,-
Seq4015,-,-,-,-,-,-,Unassigned,-
Seq4017,-,-,-,-,-,-,Unassigned,-
Seq4018,-,-,-,-,-,-,Unassigned,-
Seq4050,-,-,-,-,-,-,Unassigned,-
Seq4071,-,-,-,-,-,-,Unassigned,-
Seq4083,-,-,-,-,-,-,Unassigned,-
Seq4099,-,-,-,-,-,-,Unassigned,-
Seq4106,-,-,-,-,-,-,Unassigned,-
Seq4120,-,-,-,-,-,-,Unassigned,-
Seq4129,-,-,-,-,-,-,Unassigned,-
Seq4143,-,-,-,-,-,-,Unassigned,-
Seq4150,-,-,-,-,-,-,Unassigned,-
Seq4176,-,-,-,-,-,-,Unassigned,-
Seq4192,-,-,-,-,-,-,Unassigned,-
Seq4204,-,-,-,-,-,-,Unassigned,-
Seq4278,-,-,-,-,-,-,Unassigned,-
Seq4305,-,-,-,-,-,-,Unassigned,-
Seq4306,-,-,-,-,-,-,Unassigned,-
Seq4321,-,-,-,-,-,-,Unassigned,-
Seq4326,-,-,-,-,-,-,Unassigned,-
Seq4343,-,-,-,-,-,-,Unassigned,-
Seq4373,-,-,-,-,-,-,Unassigned,-
Seq4394,-,-,-,-,-,-,Unassigned,-
Seq4398,-,-,-,-,-,-,Unassigned,-
Seq4401,-,-,-,-,-,-,Unassigned,-
Seq4432,-,-,-,-,-,-,Unassigned,-
Seq4436,-,-,-,-,-,-,Unassigned,-
Seq4452,-,-,-,-,-,-,Unassigned,-
Seq4463,-,-,-,-,-,-,Unassigned,-
Seq4481,-,-,-,-,-,-,Unassigned,-
Seq4490,-,-,-,-,-,-,Unassigned,-
Seq4512,-,-,-,-,-,-,Unassigned,-
Seq4514,-,-,-,-,-,-,Unassigned,-
Seq4546,-,-,-,-,-,-,Unassigned,-
Seq4550,-,-,-,-,-,-,Unassigned,-
Seq4573,-,-,-,-,-,-,Unassigned,-
Seq4579,-,-,-,-,-,-,Unassigned,-
Seq4603,-,-,-,-,-,-,Unassigned,-
Seq4651,-,-,-,-,-,-,Unassigned,-
Seq4668,-,-,-,-,-,-,Unassigned,-
Seq4686,-,-,-,-,-,-,Unassigned,-
Seq4709,-,-,-,-,-,-,Unassigned,-
Seq4736,-,-,-,-,-,-,Unassigned,-
Seq4772,-,-,-,-,-,-,Unassigned,-
Seq4841,-,-,-,-,-,-,Unassigned,-
Seq4846,-,-,-,-,-,-,Unassigned,-
Seq4848,-,-,-,-,-,-,Unassigned,-
Seq4853,-,-,-,-,-,-,Unassigned,-
Seq4855,-,-,-,-,-,-,Unassigned,-
Seq4863,-,-,-,-,-,-,Unassigned,-
Seq4866,-,-,-,-,-,-,Unassigned,-
Seq4879,-,-,-,-,-,-,Unassigned,-
Seq4922,-,-,-,-,-,-,Unassigned,-
Seq4951,-,-,-,-,-,-,Unassigned,-
Seq4981,-,-,-,-,-,-,Unassigned,-
Seq4997,-,-,-,-,-,-,Unassigned,-
Seq5063,-,-,-,-,-,-,Unassigned,-
Seq5087,-,-,-,-,-,-,Unassigned,-
Seq5101,-,-,-,-,-,-,Unassigned,-
Seq5124,-,-,-,-,-,-,Unassigned,-
Seq5192,-,-,-,-,-,-,Unassigned,-
Seq5199,-,-,-,-,-,-,Unassigned,-
Seq5218,-,-,-,-,-,-,Unassigned,-
Seq5222,-,-,-,-,-,-,Unassigned,-
Seq5250,-,-,-,-,-,-,Unassigned,-
Seq5259,-,-,-,-,-,-,Unassigned,-
Seq5321,-,-,-,-,-,-,Unassigned,-
Seq5341,-,-,-,-,-,-,Unassigned,-
Seq5367,-,-,-,-,-,-,Unassigned,-
Seq5385,-,-,-,-,-,-,Unassigned,-
Seq5400,-,-,-,-,-,-,Unassigned,-
Seq5414,-,-,-,-,-,-,Unassigned,-
Seq5447,-,-,-,-,-,-,Unassigned,-
Seq5453,-,-,-,-,-,-,Unassigned,-
Seq5591,-,-,-,-,-,-,Unassigned,-
Seq5598,-,-,-,-,-,-,Unassigned,-
Seq5615,-,-,-,-,-,-,Unassigned,-
Seq5634,-,-,-,-,-,-,Unassigned,-
Seq5656,-,-,-,-,-,-,Unassigned,-
Seq5658,-,-,-,-,-,-,Unassigned,-
Seq5672,-,-,-,-,-,-,Unassigned,-
Seq5684,-,-,-,-,-,-,Unassigned,-
Seq5709,-,-,-,-,-,-,Unassigned,-
Seq5719,-,-,-,-,-,-,Unassigned,-
Seq5724,-,-,-,-,-,-,Unassigned,-
Seq5764,-,-,-,-,-,-,Unassigned,-
Seq5765,-,-,-,-,-,-,Unassigned,-
Seq5785,-,-,-,-,-,-,Unassigned,-
Seq5806,-,-,-,-,-,-,Unassigned,-
Seq5814,-,-,-,-,-,-,Unassigned,-
Seq5827,-,-,-,-,-,-,Unassigned,-
Seq5840,-,-,-,-,-,-,Unassigned,-
Seq5858,-,-,-,-,-,-,Unassigned,-
Seq5877,-,-,-,-,-,-,Unassigned,-
Seq5907,-,-,-,-,-,-,Unassigned,-
Seq5916,-,-,-,-,-,-,Unassigned,-
Seq5930,-,-,-,-,-,-,Unassigned,-
Seq5964,-,-,-,-,-,-,Unassigned,-
Seq5996,-,-,-,-,-,-,Unassigned,-
Seq6032,-,-,-,-,-,-,Unassigned,-
Seq6077,-,-,-,-,-,-,Unassigned,-
Seq6119,-,-,-,-,-,-,Unassigned,-
Seq6144,-,-,-,-,-,-,Unassigned,-
Seq6165,-,-,-,-,-,-,Unassigned,-
Seq6171,-,-,-,-,-,-,Unassigned,-
Seq6206,-,-,-,-,-,-,Unassigned,-
Seq6240,-,-,-,-,-,-,Unassigned,-
Seq6250,-,-,-,-,-,-,Unassigned,-
Seq6301,-,-,-,-,-,-,Unassigned,-
Seq6324,-,-,-,-,-,-,Unassigned,-
Seq6330,-,-,-,-,-,-,Unassigned,-
Seq6335,-,-,-,-,-,-,Unassigned,-
Seq6355,-,-,-,-,-,-,Unassigned,-
Seq6363,-,-,-,-,-,-,Unassigned,-
Seq6377,-,-,-,-,-,-,Unassigned,-
Seq6395,-,-,-,-,-,-,Unassigned,-
Seq6401,-,-,-,-,-,-,Unassigned,-
Seq6475,-,-,-,-,-,-,Unassigned,-
Seq6484,-,-,-,-,-,-,Unassigned,-
Seq6492,-,-,-,-,-,-,Unassigned,-
Seq6496,-,-,-,-,-,-,Unassigned,-
Seq6514,-,-,-,-,-,-,Unassigned,-
Seq6574,-,-,-,-,-,-,Unassigned,-
Seq6598,-,-,-,-,-,-,Unassigned,-
Seq6613,-,-,-,-,-,-,Unassigned,-
Seq6619,-,-,-,-,-,-,Unassigned,-
Seq6628,-,-,-,-,-,-,Unassigned,-
Seq6679,-,-,-,-,-,-,Unassigned,-
Seq6704,-,-,-,-,-,-,Unassigned,-
Seq6739,-,-,-,-,-,-,Unassigned,-
Seq6785,-,-,-,-,-,-,Unassigned,-
Seq6811,-,-,-,-,-,-,Unassigned,-
Seq6817,-,-,-,-,-,-,Unassigned,-
Seq6823,-,-,-,-,-,-,Unassigned,-
Seq6830,-,-,-,-,-,-,Unassigned,-
Seq6833,-,-,-,-,-,-,Unassigned,-
Seq6848,-,-,-,-,-,-,Unassigned,-
Seq6849,-,-,-,-,-,-,Unassigned,-
Seq6862,-,-,-,-,-,-,Unassigned,-
Seq6892,-,-,-,-,-,-,Unassigned,-
Seq6948,-,-,-,-,-,-,Unassigned,-
Seq6969,-,-,-,-,-,-,Unassigned,-
Seq6988,-,-,-,-,-,-,Unassigned,-
Seq7051,-,-,-,-,-,-,Unassigned,-
Seq7107,-,-,-,-,-,-,Unassigned,-
Seq7115,-,-,-,-,-,-,Unassigned,-
Seq7139,-,-,-,-,-,-,Unassigned,-
Seq7158,-,-,-,-,-,-,Unassigned,-
Seq7159,-,-,-,-,-,-,Unassigned,-
Seq7168,-,-,-,-,-,-,Unassigned,-
Seq7174,-,-,-,-,-,-,Unassigned,-
Seq7178,-,-,-,-,-,-,Unassigned,-
Seq7202,-,-,-,-,-,-,Unassigned,-
Seq7208,-,-,-,-,-,-,Unassigned,-
Seq7225,-,-,-,-,-,-,Unassigned,-
Seq7239,-,-,-,-,-,-,Unassigned,-
Seq7243,-,-,-,-,-,-,Unassigned,-
Seq7246,-,-,-,-,-,-,Unassigned,-
Seq7253,-,-,-,-,-,-,Unassigned,-
Seq7272,-,-,-,-,-,-,Unassigned,-
Seq7277,-,-,-,-,-,-,Unassigned,-
Seq7278,-,-,-,-,-,-,Unassigned,-
Seq7283,-,-,-,-,-,-,Unassigned,-
Seq7293,-,-,-,-,-,-,Unassigned,-
Seq7297,-,-,-,-,-,-,Unassigned,-
Seq7309,-,-,-,-,-,-,Unassigned,-
Seq7321,-,-,-,-,-,-,Unassigned,-
Seq7323,-,-,-,-,-,-,Unassigned,-
Seq7335,-,-,-,-,-,-,Unassigned,-
Seq7354,-,-,-,-,-,-,Unassigned,-
Seq7364,-,-,-,-,-,-,Unassigned,-
Seq7370,-,-,-,-,-,-,Unassigned,-
Seq7374,-,-,-,-,-,-,Unassigned,-
Seq7376,-,-,-,-,-,-,Unassigned,-
Seq7393,-,-,-,-,-,-,Unassigned,-
Seq7426,-,-,-,-,-,-,Unassigned,-
Seq7432,-,-,-,-,-,-,Unassigned,-
Seq7527,-,-,-,-,-,-,Unassigned,-
Seq7564,-,-,-,-,-,-,Unassigned,-
Seq7569,-,-,-,-,-,-,Unassigned,-
Seq7583,-,-,-,-,-,-,Unassigned,-
Seq7616,-,-,-,-,-,-,Unassigned,-
Seq7642,-,-,-,-,-,-,Unassigned,-
Seq7679,-,-,-,-,-,-,Unassigned,-
Seq7689,-,-,-,-,-,-,Unassigned,-
Seq7710,-,-,-,-,-,-,Unassigned,-
Seq7797,-,-,-,-,-,-,Unassigned,-
Seq7799,-,-,-,-,-,-,Unassigned,-
Seq7829,-,-,-,-,-,-,Unassigned,-
Seq7840,-,-,-,-,-,-,Unassigned,-
Seq7855,-,-,-,-,-,-,Unassigned,-
Seq7879,-,-,-,-,-,-,Unassigned,-
Seq7888,-,-,-,-,-,-,Unassigned,-
Seq7898,-,-,-,-,-,-,Unassigned,-
Seq7904,-,-,-,-,-,-,Unassigned,-
Seq7962,-,-,-,-,-,-,Unassigned,-
Seq7970,-,-,-,-,-,-,Unassigned,-
Seq7981,-,-,-,-,-,-,Unassigned,-
Seq7989,-,-,-,-,-,-,Unassigned,-
Seq8027,-,-,-,-,-,-,Unassigned,-
Seq8055,-,-,-,-,-,-,Unassigned,-
Seq8104,-,-,-,-,-,-,Unassigned,-
Seq8134,-,-,-,-,-,-,Unassigned,-
Seq8168,-,-,-,-,-,-,Unassigned,-
Seq8188,-,-,-,-,-,-,Unassigned,-
Seq8205,-,-,-,-,-,-,Unassigned,-
Seq8211,-,-,-,-,-,-,Unassigned,-
Seq8257,-,-,-,-,-,-,Unassigned,-
Seq8280,-,-,-,-,-,-,Unassigned,-
Seq8294,-,-,-,-,-,-,Unassigned,-
Seq8297,-,-,-,-,-,-,Unassigned,-
Seq8331,-,-,-,-,-,-,Unassigned,-
Seq8434,-,-,-,-,-,-,Unassigned,-
Seq8451,-,-,-,-,-,-,Unassigned,-
Seq8494,-,-,-,-,-,-,Unassigned,-
Seq8514,-,-,-,-,-,-,Unassigned,-
Seq8583,-,-,-,-,-,-,Unassigned,-
Seq8612,-,-,-,-,-,-,Unassigned,-
Seq8635,-,-,-,-,-,-,Unassigned,-
Seq8645,-,-,-,-,-,-,Unassigned,-
Seq8650,-,-,-,-,-,-,Unassigned,-
Seq8669,-,-,-,-,-,-,Unassigned,-
Seq8677,-,-,-,-,-,-,Unassigned,-
Seq8690,-,-,-,-,-,-,Unassigned,-
Seq8709,-,-,-,-,-,-,Unassigned,-
Seq8719,-,-,-,-,-,-,Unassigned,-
Seq8720,-,-,-,-,-,-,Unassigned,-
Seq8735,-,-,-,-,-,-,Unassigned,-
Seq8744,-,-,-,-,-,-,Unassigned,-
Seq8751,-,-,-,-,-,-,Unassigned,-
Seq8756,-,-,-,-,-,-,Unassigned,-
Seq8773,-,-,-,-,-,-,Unassigned,-
Seq8866,-,-,-,-,-,-,Unassigned,-
Seq8888,-,-,-,-,-,-,Unassigned,-
Seq8936,-,-,-,-,-,-,Unassigned,-
Seq8950,-,-,-,-,-,-,Unassigned,-
Seq8983,-,-,-,-,-,-,Unassigned,-
Seq8992,-,-,-,-,-,-,Unassigned,-
Seq9013,-,-,-,-,-,-,Unassigned,-
Seq9039,-,-,-,-,-,-,Unassigned,-
Seq9045,-,-,-,-,-,-,Unassigned,-
Seq9046,-,-,-,-,-,-,Unassigned,-
Seq9067,-,-,-,-,-,-,Unassigned,-
Seq9103,-,-,-,-,-,-,Unassigned,-
Seq9116,-,-,-,-,-,-,Unassigned,-
Seq9129,-,-,-,-,-,-,Unassigned,-
Seq9146,-,-,-,-,-,-,Unassigned,-
Seq9160,-,-,-,-,-,-,Unassigned,-
Seq9161,-,-,-,-,-,-,Unassigned,-
Seq9162,-,-,-,-,-,-,Unassigned,-
Seq9201,-,-,-,-,-,-,Unassigned,-
Seq9245,-,-,-,-,-,-,Unassigned,-
Seq9283,-,-,-,-,-,-,Unassigned,-
Seq9299,-,-,-,-,-,-,Unassigned,-
Seq9325,-,-,-,-,-,-,Unassigned,-
Seq9365,-,-,-,-,-,-,Unassigned,-
Seq9369,-,-,-,-,-,-,Unassigned,-
Seq9380,-,-,-,-,-,-,Unassigned,-
Seq9424,-,-,-,-,-,-,Unassigned,-
Seq9527,-,-,-,-,-,-,Unassigned,-
Seq9533,-,-,-,-,-,-,Unassigned,-
Seq9662,-,-,-,-,-,-,Unassigned,-
Seq9665,-,-,-,-,-,-,Unassigned,-
Seq9680,-,-,-,-,-,-,Unassigned,-
Seq9712,-,-,-,-,-,-,Unassigned,-
Seq9739,-,-,-,-,-,-,Unassigned,-
Seq28,-,-,-,-,-,-,Unassigned,-
Seq34,-,-,-,-,-,-,Unassigned,-
Seq42,-,-,-,-,-,-,Unassigned,-
Seq60,-,-,-,-,-,-,Unassigned,-
Seq110,-,-,-,-,-,-,Unassigned,-
Seq112,-,-,-,-,-,-,Unassigned,-
Seq138,-,-,-,-,-,-,Unassigned,-
Seq145,-,-,-,-,-,-,Unassigned,-
Seq153,-,-,-,-,-,-,Unassigned,-
Seq180,-,-,-,-,-,-,Unassigned,-
Seq231,-,-,-,-,-,-,Unassigned,-
Seq233,-,-,-,-,-,-,Unassigned,-
Seq234,-,-,-,-,-,-,Unassigned,-
Seq245,-,-,-,-,-,-,Unassigned,-
Seq255,-,-,-,-,-,-,Unassigned,-
Seq293,-,-,-,-,-,-,Unassigned,-
Seq298,-,-,-,-,-,-,Unassigned,-
Seq303,-,-,-,-,-,-,Unassigned,-
Seq310,-,-,-,-,-,-,Unassigned,-
Seq324,-,-,-,-,-,-,Unassigned,-
Seq334,-,-,-,-,-,-,Unassigned,-
Seq336,-,-,-,-,-,-,Unassigned,-
Seq349,-,-,-,-,-,-,Unassigned,-
Seq357,-,-,-,-,-,-,Unassigned,-
Seq365,-,-,-,-,-,-,Unassigned,-
Seq368,-,-,-,-,-,-,Unassigned,-
Seq388,-,-,-,-,-,-,Unassigned,-
Seq393,-,-,-,-,-,-,Unassigned,-
Seq409,-,-,-,-,-,-,Unassigned,-
Seq426,-,-,-,-,-,-,Unassigned,-
Seq443,-,-,-,-,-,-,Unassigned,-
Seq457,-,-,-,-,-,-,Unassigned,-
Seq466,-,-,-,-,-,-,Unassigned,-
Seq471,-,-,-,-,-,-,Unassigned,-
Seq477,-,-,-,-,-,-,Unassigned,-
Seq495,-,-,-,-,-,-,Unassigned,-
Seq505,-,-,-,-,-,-,Unassigned,-
Seq515,-,-,-,-,-,-,Unassigned,-
Seq525,-,-,-,-,-,-,Unassigned,-
Seq527,-,-,-,-,-,-,Unassigned,-
Seq528,-,-,-,-,-,-,Unassigned,-
Seq551,-,-,-,-,-,-,Unassigned,-
Seq552,-,-,-,-,-,-,Unassigned,-
Seq553,-,-,-,-,-,-,Unassigned,-
Seq555,-,-,-,-,-,-,Unassigned,-
Seq556,-,-,-,-,-,-,Unassigned,-
Seq576,-,-,-,-,-,-,Unassigned,-
Seq636,-,-,-,-,-,-,Unassigned,-
Seq647,-,-,-,-,-,-,Unassigned,-
Seq654,-,-,-,-,-,-,Unassigned,-
Seq680,-,-,-,-,-,-,Unassigned,-
Seq683,-,-,-,-,-,-,Unassigned,-
Seq688,-,-,-,-,-,-,Unassigned,-
Seq697,-,-,-,-,-,-,Unassigned,-
Seq699,-,-,-,-,-,-,Unassigned,-
Seq711,-,-,-,-,-,-,Unassigned,-
Seq718,-,-,-,-,-,-,Unassigned,-
Seq719,-,-,-,-,-,-,Unassigned,-
Seq723,-,-,-,-,-,-,Unassigned,-
Seq728,-,-,-,-,-,-,Unassigned,-
Seq734,-,-,-,-,-,-,Unassigned,-
Seq747,-,-,-,-,-,-,Unassigned,-
Seq758,-,-,-,-,-,-,Unassigned,-
Seq760,-,-,-,-,-,-,Unassigned,-
Seq782,-,-,-,-,-,-,Unassigned,-
Seq788,-,-,-,-,-,-,Unassigned,-
Seq805,-,-,-,-,-,-,Unassigned,-
Seq825,-,-,-,-,-,-,Unassigned,-
Seq839,-,-,-,-,-,-,Unassigned,-
Seq848,-,-,-,-,-,-,Unassigned,-
Seq849,-,-,-,-,-,-,Unassigned,-
Seq851,-,-,-,-,-,-,Unassigned,-
Seq853,-,-,-,-,-,-,Unassigned,-
Seq870,-,-,-,-,-,-,Unassigned,-
Seq872,-,-,-,-,-,-,Unassigned,-
Seq883,-,-,-,-,-,-,Unassigned,-
Seq886,-,-,-,-,-,-,Unassigned,-
Seq889,-,-,-,-,-,-,Unassigned,-
Seq896,-,-,-,-,-,-,Unassigned,-
Seq901,-,-,-,-,-,-,Unassigned,-
Seq922,-,-,-,-,-,-,Unassigned,-
Seq931,-,-,-,-,-,-,Unassigned,-
Seq932,-,-,-,-,-,-,Unassigned,-
Seq943,-,-,-,-,-,-,Unassigned,-
Seq965,-,-,-,-,-,-,Unassigned,-
Seq967,-,-,-,-,-,-,Unassigned,-
Seq970,-,-,-,-,-,-,Unassigned,-
Seq981,-,-,-,-,-,-,Unassigned,-
Seq999,-,-,-,-,-,-,Unassigned,-
Seq1002,-,-,-,-,-,-,Unassigned,-
Seq1015,-,-,-,-,-,-,Unassigned,-
Seq1019,-,-,-,-,-,-,Unassigned,-
Seq1028,-,-,-,-,-,-,Unassigned,-
Seq1029,-,-,-,-,-,-,Unassigned,-
Seq1030,-,-,-,-,-,-,Unassigned,-
Seq1032,-,-,-,-,-,-,Unassigned,-
Seq1035,-,-,-,-,-,-,Unassigned,-
Seq1043,-,-,-,-,-,-,Unassigned,-
Seq1074,-,-,-,-,-,-,Unassigned,-
Seq1106,-,-,-,-,-,-,Unassigned,-
Seq1112,-,-,-,-,-,-,Unassigned,-
Seq1115,-,-,-,-,-,-,Unassigned,-
Seq1117,-,-,-,-,-,-,Unassigned,-
Seq1121,-,-,-,-,-,-,Unassigned,-
Seq1127,-,-,-,-,-,-,Unassigned,-
Seq1128,-,-,-,-,-,-,Unassigned,-
Seq1133,-,-,-,-,-,-,Unassigned,-
Seq1135,-,-,-,-,-,-,Unassigned,-
Seq1140,-,-,-,-,-,-,Unassigned,-
Seq1141,-,-,-,-,-,-,Unassigned,-
Seq1142,-,-,-,-,-,-,Unassigned,-
Seq1160,-,-,-,-,-,-,Unassigned,-
Seq1163,-,-,-,-,-,-,Unassigned,-
Seq1170,-,-,-,-,-,-,Unassigned,-
Seq1179,-,-,-,-,-,-,Unassigned,-
Seq1189,-,-,-,-,-,-,Unassigned,-
Seq1199,-,-,-,-,-,-,Unassigned,-
Seq1209,-,-,-,-,-,-,Unassigned,-
Seq1224,-,-,-,-,-,-,Unassigned,-
Seq1231,-,-,-,-,-,-,Unassigned,-
Seq1233,-,-,-,-,-,-,Unassigned,-
Seq1239,-,-,-,-,-,-,Unassigned,-
Seq1245,-,-,-,-,-,-,Unassigned,-
Seq1248,-,-,-,-,-,-,Unassigned,-
Seq1252,-,-,-,-,-,-,Unassigned,-
Seq1274,-,-,-,-,-,-,Unassigned,-
Seq1291,-,-,-,-,-,-,Unassigned,-
Seq1292,-,-,-,-,-,-,Unassigned,-
Seq1303,-,-,-,-,-,-,Unassigned,-
Seq1305,-,-,-,-,-,-,Unassigned,-
Seq1310,-,-,-,-,-,-,Unassigned,-
Seq1317,-,-,-,-,-,-,Unassigned,-
Seq1339,-,-,-,-,-,-,Unassigned,-
Seq1357,-,-,-,-,-,-,Unassigned,-
Seq1366,-,-,-,-,-,-,Unassigned,-
Seq1372,-,-,-,-,-,-,Unassigned,-
Seq1397,-,-,-,-,-,-,Unassigned,-
Seq1403,-,-,-,-,-,-,Unassigned,-
Seq1410,-,-,-,-,-,-,Unassigned,-
Seq1416,-,-,-,-,-,-,Unassigned,-
Seq1426,-,-,-,-,-,-,Unassigned,-
Seq1441,-,-,-,-,-,-,Unassigned,-
Seq1449,-,-,-,-,-,-,Unassigned,-
Seq1455,-,-,-,-,-,-,Unassigned,-
Seq1465,-,-,-,-,-,-,Unassigned,-
Seq1483,-,-,-,-,-,-,Unassigned,-
Seq1525,-,-,-,-,-,-,Unassigned,-
Seq1528,-,-,-,-,-,-,Unassigned,-
Seq1548,-,-,-,-,-,-,Unassigned,-
Seq1561,-,-,-,-,-,-,Unassigned,-
Seq1575,-,-,-,-,-,-,Unassigned,-
Seq1584,-,-,-,-,-,-,Unassigned,-
Seq1600,-,-,-,-,-,-,Unassigned,-
Seq1618,-,-,-,-,-,-,Unassigned,-
Seq1649,-,-,-,-,-,-,Unassigned,-
Seq1651,-,-,-,-,-,-,Unassigned,-
Seq1677,-,-,-,-,-,-,Unassigned,-
Seq1679,-,-,-,-,-,-,Unassigned,-
Seq1687,-,-,-,-,-,-,Unassigned,-
Seq1695,-,-,-,-,-,-,Unassigned,-
Seq1710,-,-,-,-,-,-,Unassigned,-
Seq1715,-,-,-,-,-,-,Unassigned,-
Seq1731,-,-,-,-,-,-,Unassigned,-
Seq1734,-,-,-,-,-,-,Unassigned,-
Seq1735,-,-,-,-,-,-,Unassigned,-
Seq1742,-,-,-,-,-,-,Unassigned,-
Seq1756,-,-,-,-,-,-,Unassigned,-
Seq1763,-,-,-,-,-,-,Unassigned,-
Seq1773,-,-,-,-,-,-,Unassigned,-
Seq1776,-,-,-,-,-,-,Unassigned,-
Seq1787,-,-,-,-,-,-,Unassigned,-
Seq1794,-,-,-,-,-,-,Unassigned,-
Seq1798,-,-,-,-,-,-,Unassigned,-
Seq1804,-,-,-,-,-,-,Unassigned,-
Seq1816,-,-,-,-,-,-,Unassigned,-
Seq1822,-,-,-,-,-,-,Unassigned,-
Seq1840,-,-,-,-,-,-,Unassigned,-
Seq1842,-,-,-,-,-,-,Unassigned,-
Seq1849,-,-,-,-,-,-,Unassigned,-
Seq1851,-,-,-,-,-,-,Unassigned,-
Seq1869,-,-,-,-,-,-,Unassigned,-
Seq1900,-,-,-,-,-,-,Unassigned,-
Seq1905,-,-,-,-,-,-,Unassigned,-
Seq1919,-,-,-,-,-,-,Unassigned,-
Seq1930,-,-,-,-,-,-,Unassigned,-
Seq1945,-,-,-,-,-,-,Unassigned,-
Seq1954,-,-,-,-,-,-,Unassigned,-
Seq1969,-,-,-,-,-,-,Unassigned,-
Seq1976,-,-,-,-,-,-,Unassigned,-
Seq1977,-,-,-,-,-,-,Unassigned,-
Seq1979,-,-,-,-,-,-,Unassigned,-
