sequence,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Growth Morphology,Trait,Confidence Ranking,Notes,Citation/Source
Seq2399,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2433,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2436,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2466,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2467,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2469,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2481,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2488,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2493,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2494,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2509,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2534,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2551,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2554,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2586,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2599,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2606,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2607,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2608,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2631,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2657,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2681,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2711,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2714,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2744,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2745,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2796,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2866,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2884,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2916,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq2968,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3012,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3039,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3044,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3045,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3048,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3056,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3069,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3077,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3102,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3106,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3131,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3151,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3168,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3182,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3227,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3228,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3240,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3247,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3269,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3287,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3330,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3362,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3372,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3400,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3491,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3503,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3552,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3557,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3568,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3593,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3617,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3678,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3740,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3746,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3769,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3780,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3785,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3791,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3828,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3873,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3888,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3891,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3908,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3922,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq3985,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4007,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4012,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4034,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4076,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4098,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4160,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4194,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4200,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4201,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4247,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4281,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4298,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4309,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4317,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4344,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4356,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4389,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4393,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4402,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4426,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4460,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4461,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4518,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4522,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4553,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4567,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4590,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4603,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4622,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4639,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4660,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4679,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4688,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4695,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4710,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4734,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4750,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4783,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4787,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4788,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4800,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4833,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4846,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4868,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4903,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4906,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq4990,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5008,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5013,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5041,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5096,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5102,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5121,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5149,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5159,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5196,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5215,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5219,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5237,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5261,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5263,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5286,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5292,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5381,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5392,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5405,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5416,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5435,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
Seq5448,root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;,-,-,-,-,-,-,-,Unassigned,-
